ACM (Certificate Manager)|acm
API Gateway|apigateway
API Gateway V2|apigatewayv2
Auto Scaling|autoscaling
Backup|backup
Cloud Map|cloudmap
CloudFront|cloudfront
CloudTrail|cloudtrail
CloudWatch|cloudwatch
CloudWatch Logs|logs
Cognito IDP (Identity Provider)|cognito_idp
Cognito Identity|cognito_identity
DocDB (DocumentDB)|docdb
DynamoDB|dynamodb
EBS (EC2)|ebs
EC2 (Elastic Compute Cloud)|ec2
ECR (Elastic Container Registry)|ecr
ECR Public|ecr_public
ECS (Elastic Container)|ecs
EFS (Elastic File System)|efs
EKS (Elastic Kubernetes)|eks
ELB (Elastic Load Balancing)|elbv2
ELB Classic|elb
ElastiCache|elasticache
Elastic Beanstalk|elasticbeanstalk
Elasticsearch|es
GuardDuty|guardduty
IAM (Identity & Access Management)|iam
KMS (Key Management)|kms
Lambda|aws_lambda
OpenSearch|opensearch
RDS (Relational Database)|rds
Route 53|route53
S3 (Simple Storage)|s3
SNS (Simple Notification)|sns
SQS (Simple Queue)|sqs
SSM (Systems Manager)|ssm
Secrets Manager|secretsmanager
VPC (Virtual Private Cloud)|vpc
VPN (Client)|vpn_client
WAF|wafv2
